date,year,month,quarter,weekday
9/4/2024,2024,Sep,Q3,Wednesday
9/5/2024,2024,Sep,Q3,Thursday
9/6/2024,2024,Sep,Q3,Friday
9/7/2024,2024,Sep,Q3,Saturday
9/8/2024,2024,Sep,Q3,Sunday
9/9/2024,2024,Sep,Q3,Monday
9/10/2024,2024,Sep,Q3,Tuesday
9/11/2024,2024,Sep,Q3,Wednesday
9/12/2024,2024,Sep,Q3,Thursday
9/13/2024,2024,Sep,Q3,Friday
9/14/2024,2024,Sep,Q3,Saturday
9/15/2024,2024,Sep,Q3,Sunday
9/16/2024,2024,Sep,Q3,Monday
9/17/2024,2024,Sep,Q3,Tuesday
9/18/2024,2024,Sep,Q3,Wednesday
9/19/2024,2024,Sep,Q3,Thursday
9/20/2024,2024,Sep,Q3,Friday
9/21/2024,2024,Sep,Q3,Saturday
9/22/2024,2024,Sep,Q3,Sunday
9/23/2024,2024,Sep,Q3,Monday
9/24/2024,2024,Sep,Q3,Tuesday
9/25/2024,2024,Sep,Q3,Wednesday
9/26/2024,2024,Sep,Q3,Thursday
9/27/2024,2024,Sep,Q3,Friday
9/28/2024,2024,Sep,Q3,Saturday
9/29/2024,2024,Sep,Q3,Sunday
9/30/2024,2024,Sep,Q3,Monday
10/1/2024,2024,Oct,Q4,Tuesday
10/2/2024,2024,Oct,Q4,Wednesday
10/3/2024,2024,Oct,Q4,Thursday
10/4/2024,2024,Oct,Q4,Friday
10/5/2024,2024,Oct,Q4,Saturday
10/6/2024,2024,Oct,Q4,Sunday
10/7/2024,2024,Oct,Q4,Monday
10/8/2024,2024,Oct,Q4,Tuesday
10/9/2024,2024,Oct,Q4,Wednesday
10/10/2024,2024,Oct,Q4,Thursday
10/11/2024,2024,Oct,Q4,Friday
10/12/2024,2024,Oct,Q4,Saturday
10/13/2024,2024,Oct,Q4,Sunday
10/14/2024,2024,Oct,Q4,Monday
10/15/2024,2024,Oct,Q4,Tuesday
10/16/2024,2024,Oct,Q4,Wednesday
10/17/2024,2024,Oct,Q4,Thursday
10/18/2024,2024,Oct,Q4,Friday
10/19/2024,2024,Oct,Q4,Saturday
10/20/2024,2024,Oct,Q4,Sunday
10/21/2024,2024,Oct,Q4,Monday
10/22/2024,2024,Oct,Q4,Tuesday
10/23/2024,2024,Oct,Q4,Wednesday
10/24/2024,2024,Oct,Q4,Thursday
10/25/2024,2024,Oct,Q4,Friday
10/26/2024,2024,Oct,Q4,Saturday
10/27/2024,2024,Oct,Q4,Sunday
10/28/2024,2024,Oct,Q4,Monday
10/29/2024,2024,Oct,Q4,Tuesday
10/30/2024,2024,Oct,Q4,Wednesday
10/31/2024,2024,Oct,Q4,Thursday
11/1/2024,2024,Nov,Q4,Friday
11/2/2024,2024,Nov,Q4,Saturday
11/3/2024,2024,Nov,Q4,Sunday
11/4/2024,2024,Nov,Q4,Monday
11/5/2024,2024,Nov,Q4,Tuesday
11/6/2024,2024,Nov,Q4,Wednesday
11/7/2024,2024,Nov,Q4,Thursday
11/8/2024,2024,Nov,Q4,Friday
11/9/2024,2024,Nov,Q4,Saturday
11/10/2024,2024,Nov,Q4,Sunday
11/11/2024,2024,Nov,Q4,Monday
11/12/2024,2024,Nov,Q4,Tuesday
11/13/2024,2024,Nov,Q4,Wednesday
11/14/2024,2024,Nov,Q4,Thursday
11/15/2024,2024,Nov,Q4,Friday
11/16/2024,2024,Nov,Q4,Saturday
11/17/2024,2024,Nov,Q4,Sunday
11/18/2024,2024,Nov,Q4,Monday
11/19/2024,2024,Nov,Q4,Tuesday
11/20/2024,2024,Nov,Q4,Wednesday
11/21/2024,2024,Nov,Q4,Thursday
11/22/2024,2024,Nov,Q4,Friday
11/23/2024,2024,Nov,Q4,Saturday
11/24/2024,2024,Nov,Q4,Sunday
11/25/2024,2024,Nov,Q4,Monday
11/26/2024,2024,Nov,Q4,Tuesday
11/27/2024,2024,Nov,Q4,Wednesday
11/28/2024,2024,Nov,Q4,Thursday
11/29/2024,2024,Nov,Q4,Friday
11/30/2024,2024,Nov,Q4,Saturday
12/1/2024,2024,Dec,Q4,Sunday
12/2/2024,2024,Dec,Q4,Monday
12/3/2024,2024,Dec,Q4,Tuesday
12/4/2024,2024,Dec,Q4,Wednesday
12/5/2024,2024,Dec,Q4,Thursday
12/6/2024,2024,Dec,Q4,Friday
12/7/2024,2024,Dec,Q4,Saturday
12/8/2024,2024,Dec,Q4,Sunday
12/9/2024,2024,Dec,Q4,Monday
12/10/2024,2024,Dec,Q4,Tuesday
12/11/2024,2024,Dec,Q4,Wednesday
12/12/2024,2024,Dec,Q4,Thursday
12/13/2024,2024,Dec,Q4,Friday
12/14/2024,2024,Dec,Q4,Saturday
12/15/2024,2024,Dec,Q4,Sunday
12/16/2024,2024,Dec,Q4,Monday
12/17/2024,2024,Dec,Q4,Tuesday
12/18/2024,2024,Dec,Q4,Wednesday
12/19/2024,2024,Dec,Q4,Thursday
12/20/2024,2024,Dec,Q4,Friday
12/21/2024,2024,Dec,Q4,Saturday
12/22/2024,2024,Dec,Q4,Sunday
12/23/2024,2024,Dec,Q4,Monday
12/24/2024,2024,Dec,Q4,Tuesday
12/25/2024,2024,Dec,Q4,Wednesday
12/26/2024,2024,Dec,Q4,Thursday
12/27/2024,2024,Dec,Q4,Friday
12/28/2024,2024,Dec,Q4,Saturday
12/29/2024,2024,Dec,Q4,Sunday
12/30/2024,2024,Dec,Q4,Monday
12/31/2024,2024,Dec,Q4,Tuesday
